""	"PARTID"	"order"	"item"	"CODE"	"...5"	"...6"	"...7"	"...8"	"...9"	"...10"	"...11"	"...12"	"...13"	"...14"	"...15"	"...16"
"466"	"naj012"	3	"Jehova"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"467"	"naj012"	4	"Ånds uddrivelser"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"468"	"naj012"	5	"Isis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"469"	"naj013"	1	"Vejrtrækning"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"470"	"naj013"	2	"Nærvær"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"471"	"naj013"	3	"Tilstede i given situation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"472"	"naj013"	4	"Tanken om noget større"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"473"	"naj013"	5	"Befriende eller lettende i hverdagen"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"474"	"naj014"	1	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"475"	"naj014"	2	"Konfirmation"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"476"	"naj014"	3	"At bede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"477"	"naj014"	4	"Ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"478"	"naj015"	1	"Kirke"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"479"	"naj015"	2	"Dåb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"480"	"naj015"	3	"Begravelse"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"481"	"naj015"	4	"Ægteskab"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"482"	"naj015"	5	"Bøn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"483"	"naj016"	1	"Ritualer"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"484"	"naj016"	2	"Gentagelser"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"485"	"naj016"	3	"Rekvisiter"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"486"	"naj016"	4	"Religiøs ekspert"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"487"	"naj016"	5	"Ofring"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
